"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(AATG)n",1.91994010762637,0.829951300338276,0.392128903674353,0.00271341790878901,0.022687302836774
"(AGTC)n",5.38033445661425,-0.074136637745657,0.234774120570271,0.00185778030903605,0.0168609578392514
"(ATCATT)n",2.71626397705121,0.780540239375229,0.442463703271659,0.00626458291223966,0.0429384953776427
"(C)n",67.8261132370542,-0.187206483730576,0.357108409361848,0.000653354421374474,0.00774607584260187
"(CA)n",204.385751489334,0.487499882470184,0.191574142327634,0.00179824388116392,0.0164339510250814
"(CAC)n",16.3172454719977,-0.818954013982905,0.524880391572556,0.00248998766622421,0.0212780764204614
"(CATC)n",34.7794418220147,0.632452787246825,0.287506014356649,0.0031666051441211,0.0246582980453453
"(CCTT)n",10.2500773236611,-0.822700906259561,0.410086658480872,0.00132742886018549,0.0129938226762033
"(CTCCTC)n",0.827387010359973,-1.53092149286381,1.01448645586338,0.00403494447622427,0.0301485158552595
"(CTTT)n",4.27684605363588,-1.34936357849849,0.439527520115567,0.000389288250017517,0.0052275850716638
"(G)n",6849.63054147483,-0.175311309431487,0.33840928663176,8.51841276623768e-07,5.90012168440463e-05
"(GAATG)n",4.97147647148851,1.36275839175963,0.424414804394633,0.000153479151407177,0.00262309822404993
"(GATG)n",37.3124093290151,0.842540032085926,0.267464273794557,0.000183747323601989,0.00306090478304073
"(GCCT)n",0.478662577666025,1.58775041894027,0.614651851031364,0.0016221194817818,0.0151397818299635
"(GGAT)n",11.0617218796892,-0.605158560150991,0.265748797735081,0.00161442646771172,0.0151397818299635
"(GGT)n",11.1638368224828,-2.08051383194346,0.477164673945005,1.42773018040939e-06,8.54042235190343e-05
"(GT)n",198.937782476807,0.564394849071782,0.187153956976599,0.00038748411669513,0.0052275850716638
"(GTGA)n",2.15366015476288,1.95695812008617,0.40498648470421,2.05119908499793e-07,2.0570753302463e-05
"(GTGTGT)n",2.64872066553094,-0.895073210325487,0.736566362297617,0.00481163403339419,0.0345390952522173
"(GTGTGTG)n",6.62307392066421,-2.45806422095043,0.543156584150279,2.50100344102894e-07,2.0570753302463e-05
"(TAG)n",1.27629232157609,1.96935084089683,0.534393198250796,3.51486222275514e-05,0.000984161422371439
"(TCC)n",5.2869768114753,0.455522738683819,0.235324410281265,0.00744223678989934,0.0484848896444741
"(TCCA)n",13.4100149805549,1.52293400616341,0.207669533546797,3.92910993006571e-14,1.72356955598883e-11
"(TCCT)n",10.2685201261332,0.609713961322019,0.266517582854797,0.00260052282746951,0.0220792776835476
"(TCTCTG)n",4.25893895021886,0.510842956193296,0.280288400125997,0.00720192692719355,0.0476268132471694
"(TGGA)n",69.4550269419665,0.702133272343419,0.23236750498319,0.000304751892909915,0.00445614990077165
"(TGGTGA)n",2.83005019371211,1.07705202683286,0.301585680065383,3.90890607583664e-05,0.00104982048893898
"(TTC)n",504.64598965398,-0.166242744565106,0.316741459170213,2.72589274609706e-05,0.000797172189747497
"(TTCC)n",16.6872024496522,-0.590096834277366,0.240527948621451,0.0010551884509231,0.0112765457666535
"(TTCCA)n",55.101662415418,1.92790700341143,0.3185657487699,2.53924206995136e-10,5.56940427342666e-08
"(TTCGA)n",3.96560094767941,-0.171079477979423,0.333918240695137,0.00130794530946028,0.0129938226762033
"(TTTC)n",11.3446393189324,-0.990987190259487,0.365429742011926,0.00107578664414855,0.0113258817895959
"AluYb8",36.5203155601351,-0.450437571137456,0.233167444994559,0.00482917441216412,0.0345390952522173
