"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CTCC)n",1.00335268583641,0.466699758873059,0.226998204401435,0.00114998374536538,0.0485617687611769
"(GTGA)n",2.1455699155122,-0.0181906707194818,0.0417981860613506,0.000894856950348135,0.0420902358431605
"(TTCTTC)n",1.479929072467,0.890511239432726,0.370474531792768,0.000134626698766909,0.0136387201750784
"Charlie22a",18.0028788372424,0.288988767850222,0.082556685624201,2.19236467417491e-05,0.00412477753698336
"Charlie5",128.382882519695,-0.294446188573616,0.116195706461852,0.000385598642111361,0.0282129673144813
"CR1-16_AMi",2.85524216904083,-0.375948032934957,0.166454134052935,0.000725203826533054,0.0397098561475428
"Harlequin-int",809.545711767585,-0.429009517694386,0.184571124340916,0.000518842382745771,0.0325388294321991
"Helitron1Na_Mam",5.35539901904322,-0.266300909759316,0.129257294382939,0.00117993667453125,0.0485617687611769
"HERVI-int",22.936816862018,0.00242258072022314,0.0341782225962277,0.000763887444953204,0.0397098561475428
"HERVK-int",283.78075235639,0.463898580387145,0.128709145281583,1.36199654522463e-05,0.00350894153676118
"HSATI",4.34149941240786,0.9603038324761,0.325135912784511,0.000146245353216319,0.0137575092989923
"L1MA5A",180.099106286953,-0.134328082670639,0.0461970284176805,0.0002122061687724,0.0164397367219559
"L1PA14",276.346064569899,-0.176293618212904,0.0540509126700285,5.30393274434962e-05,0.00776142158256495
"L1PBa1",244.170537770319,-0.326438515648172,0.109386835820869,0.000103214886799729,0.0113278338262703
"LTR108a_Mam",3.52445678846976,-0.299351130344326,0.133464260404369,0.000749382441472113,0.0397098561475428
"LTR12",147.216590618827,0.00222168206998022,0.0337902757334932,0.000457642041316759,0.0316342011753288
"LTR12_",130.214601819075,-0.0182826193397714,0.0414626717953327,0.000192045163993156,0.0158077175611866
"LTR16E1",33.6077885831505,0.18707250536811,0.0798242050959145,0.000783945527590063,0.0397098561475428
"LTR32",32.3283505063546,-0.180427881481394,0.0559966957995302,6.10097750780233e-05,0.00803498737777567
"LTR40c",57.7741480767134,0.279134356441111,0.121745175334395,8.18760437511826e-06,0.00350894153676118
"LTR41C",47.6604268322396,-0.185589464968009,0.0600898626325188,8.95236983236011e-05,0.0107184282447439
"LTR5_Hs",498.4126293997,0.290356121822929,0.0818103226945981,1.59860662267024e-05,0.00350894153676118
"LTR7C",81.5936693620457,0.400473164943722,0.100452232971819,3.1051067829396e-06,0.00350894153676118
"MER63C",40.2331974291821,0.00488467418639256,0.0331978854088002,0.000736447526364195,0.0397098561475428
"MER66A",58.1516813677689,-0.0117824340212029,0.0370403996672245,0.000480397891804538,0.0316342011753288
"MER66B",31.433484702115,0.186921771760135,0.0826350660859621,0.000875998085631454,0.0420902358431605
"MER75",34.4897293499096,0.0100566598005791,0.0347493367630976,3.57337332896523e-05,0.00588266584280901
"MER89",32.0937650456586,-0.15514309464716,0.0687826159711388,0.001036885046483,0.0455192535406036
"MLT2B3",538.77144858432,-0.399197664505228,0.106648654450707,6.37956196247005e-06,0.00350894153676118
"MLT2C1",63.4596776100999,0.211462531154519,0.0741282729144074,0.000183411656520745,0.0158077175611866
"PABL_A",20.3710203024059,-0.196911092674526,0.0898232891098971,0.000943315472575906,0.0428395337028437
"PABL_B-int",16.0253426861337,-0.477746826306675,0.133357527930567,1.1715150315902e-05,0.00350894153676118
