"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(ATTC)n",3.04551199234982,0.486359566380966,0.195363205605408,0.000364570485912624,0.0478559524507971
"(TATA)n",3.95362338406474,0.590554969907193,0.240548376450647,0.000403188382680565,0.0496173703436271
"(TCTCC)n",5.98585146378608,-1.76968071315537e-05,0.00144272713818071,1.50623612378922e-05,0.00962187995543085
"AluYg6",17.9238645324102,-3.33726485141919e-06,0.00144260845430911,8.61200244514246e-06,0.00847851640724275
"Charlie3",28.803161601777,0.368373129737706,0.132199149197139,0.000162794048866395,0.0360820258259123
"GSAT",2.30670566745567,6.774348116852e-06,0.0014426930116557,3.51775538946187e-05,0.011544100603084
"LTR103b_Mam",24.2881237412013,0.502125933945787,0.147065765573046,1.95467342923938e-05,0.00962187995543085
"LTR19-int",9.39619106802325,-1.93164083280267e-05,0.00144272120331792,0.000297066972752758,0.0417803478107271
"LTR23",54.4253891181658,0.387809320242235,0.144089734392434,0.000216533160368282,0.0386664463729873
"LTR43",106.476857144875,0.416384630335185,0.159843675094364,0.000255288879049687,0.0386664463729873
"MER4A1_",87.2284757722636,0.331428678652089,0.116692912829001,0.000140162874594316,0.0360820258259123
"MER67A",43.3548773891946,1.03717644605764,0.144675232287691,1.38140756703739e-06,0.00271999149949663
"MER6A",65.1833989830411,-0.362675122057262,0.129648685106779,0.000164925460859934,0.0360820258259123
"MER92A",2.06179245680305,0.688890518925527,0.253532031915854,0.000254532656785305,0.0386664463729873
"MER9a1",111.323832499139,1.02542972199879,0.238778837722961,0.000229529414828451,0.0386664463729873
"MST-int",38.9983287707583,-0.471441977350822,0.219654572564625,3.01953849287664e-05,0.011544100603084
