"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(AATATA)n",1.46995681234135,-2.18515468431247e-05,0.00144273390617764,9.57316928608961e-05,0.0318220140654322
"(ATCT)n",12.4860059129711,-1.49885162348181e-05,0.00144265208803015,6.89118532297528e-07,0.000761389838372232
"(CTTTTT)n",3.89286376291559,0.708927186838211,0.200264996420962,1.56704697293077e-05,0.00814772246690298
"(GTGTCGT)n",2.26104712656464,-8.29725222486003e-06,0.00144270020481171,1.27667148463289e-05,0.0075229995017801
"(TCATT)n",4.25272353300261,0.945007070757251,0.205487628089718,2.30092377243679e-07,0.000290540931779554
"(TCTC)n",168.618436352574,0.622116849658711,0.164283455356505,2.12606490107037e-06,0.00170838978732373
"(TCTCC)n",7.31281844499669,-2.42583038360454e-05,0.00144274462896076,9.72049303955957e-05,0.0318220140654322
"(TG)n",6218.77051749367,-1.17635396678832e-05,0.00144269756141026,2.05486470677312e-06,0.00170838978732373
"(TGCTGC)n",1.28209789996482,-4.0509428645236e-06,0.00144269668395927,5.04393492867867e-05,0.020265154924814
"7SK",88.6730314603107,-0.600747129121336,0.181521092356917,7.34549731009416e-08,0.000129853701447844
"Cheshire",184.195623029053,-0.152383779621375,0.0532762382229958,0.000132021910063754,0.0388980554351175
"CR1-13_AMi",5.70965164929291,-9.74184542345414e-06,0.00144269524277577,1.39550388006912e-05,0.00770928674745684
"HERVI-int",50.4150320828925,0.394212647208385,0.190083730938492,1.51352418477271e-07,0.0002229673378201
"LTR104_Mam",190.650023767113,1.08067968176014,0.114710918044963,9.14842402300155e-06,0.00577592285280791
"LTR1B1",48.4999819650993,-2.82519623292121e-05,0.00144278594130076,6.51183192708144e-14,2.87790412017364e-10
"LTR45B",178.73033221432,-0.419773337568603,0.13023340652197,3.85387667831201e-05,0.016829743541387
"LTR48B",1937.19098469283,0.502958865092541,0.124129857393531,2.44547979134312e-06,0.00180129965630682
"LTR71A",34.313545655613,1.06121476290603,0.114463482648991,8.27191054826121e-05,0.0296638571878626
"LTR77",87.4338926530056,-0.843197531618132,0.173520367998826,3.90490142338772e-08,8.62885592033101e-05
"MER47C",36.8110511362855,0.636735625224923,0.159164545600481,2.83836051191053e-06,0.00192986681267517
"MER51E",770.922969619586,1.69244277046218e-05,0.00144271331513497,7.98087271251263e-07,0.000783810376732213
"MLT1-int",202.52444161329,0.813732815677315,0.157172688821256,1.12842924074123e-08,3.3247286863039e-05
"MLT1E",81.4082760032354,-7.04765405968631e-06,0.00144241852893756,3.99846831507102e-05,0.016829743541387
"Ricksha_a",26.0530481284995,0.415253209169183,0.141813863879663,0.0001172369569326,0.0361028304756244
"Ricksha_c",89.2116945515373,5.8814812250064e-05,0.00144291057074341,8.39004898400912e-05,0.0296638571878626
"Tigger5",43.5737046367749,0.210130840625603,0.0640146940311743,3.83270326233373e-05,0.016829743541387
"U1",179.128074414517,-2.11863503722626,0.171868525493449,3.73158942301645e-05,0.016829743541387
"U2",54.6201787095229,-3.68893243563937,0.191765371071483,1.20462154028086e-16,1.06476497945425e-12
"U8",7.280036847282,-1.82410908291215e-05,0.00144273154171177,0.000118450286660607,0.0361028304756244
"UCON80_AMi",35.89361101516,-0.527194936392301,0.173301578031844,6.50260350756166e-05,0.0249897880014511
