"","ensgene","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","description"
"1","Charlie20a",125.992897775664,-2.27532459613449,0.167875231508643,1.30341983832704e-42,3.16339994761972e-39,NA,NA
"2","MSTA-int",1284.98676105088,-1.40965955659714,0.105505408675767,1.28298842950092e-41,1.55690645919937e-38,NA,NA
"3","Tigger12A",44.5957842526953,-2.55784002828398,0.200976812966783,6.73289525098848e-38,5.44691225804968e-35,NA,NA
"4","MER77B",205.628571731927,-1.37783588071677,0.1096707075263,3.3635636509467e-37,2.04084224521191e-34,NA,NA
"5","LTR38B",112.443497376754,-2.72912740482222,0.229860382237095,4.37010006343689e-33,2.12124657079226e-30,NA,NA
"6","(CATT)n",8.9725520297482,-2.96240994051597,0.253366822725916,2.24028121026974e-32,9.06193749554109e-30,NA,NA
"7","Tigger2a",531.258759859512,-0.852750958451227,0.0822375268060806,3.04523482212535e-26,1.05582641618546e-23,NA,NA
"8","MER20B",335.258916943037,-0.688374801362327,0.0673840024894867,3.73079257515037e-25,1.13182919748624e-22,NA,NA
"9","L1ME3C",307.824435057759,-0.809361399655684,0.0803581635749345,1.24759767342087e-24,3.36435505932494e-22,NA,NA
"10","MamGypLTR1d",76.3930187302461,-1.24500547284188,0.12934804128529,9.41345578808211e-23,2.28464571976753e-20,NA,NA
"11","L1MEa",83.3525690068795,-2.24664161752973,0.26019572487541,1.36085680436014e-18,3.00254496743823e-16,NA,NA
"12","(AATATA)n",1.78303473383654,-2.6208430939379,0.318872844117632,1.35844056066297e-17,2.74744603394087e-15,NA,NA
"13","MER135",30.1175221234417,-1.68906077341281,0.204476462286417,1.77935610363815e-17,3.321920971946e-15,NA,NA
"14","Ricksha_0",76.1854605903494,-1.23352680876861,0.150196371065555,2.83216958546591e-17,4.90976827423269e-15,NA,NA
"15","(ATTC)n",4.04561846285397,-1.92204240799769,0.240864351730725,5.73151113921118e-17,9.27358502324369e-15,NA,NA
"16","HAL1",3175.93506402712,-0.408565491294977,0.0496010906664942,8.76589347957759e-17,1.32967646718343e-14,NA,NA
"17","(GCCCCCT)n",2.63990709112983,-3.00456735602634,0.373026600019629,9.70969423011606e-17,1.3862016409701e-14,NA,NA
"18","UCON71_Crp",10.0027795009503,-2.11155389805977,0.266960871445759,3.01643519120788e-16,4.06716011614529e-14,NA,NA
"19","LTR107_Mam",29.1352545739524,-1.0587355803402,0.142001354555343,7.20471597544806e-15,8.32659317733926e-13,NA,NA
"20","LTR41C",107.347315585724,-0.790970061134091,0.10445307771928,6.96469611345526e-15,8.32659317733926e-13,NA,NA
"21","LTR52-int",24.5979576315442,-1.40781697231073,0.187666198672864,6.77933015723363e-15,8.32659317733926e-13,NA,NA
"22","L1ME3B",1678.64173561013,-0.419925242642921,0.0554367712109423,1.25246622890993e-14,1.38169797162018e-12,NA,NA
"23","MLT2C1",247.476223286808,-1.01940311942052,0.13902448254339,4.44640573010434e-14,4.69192465520141e-12,NA,NA
"24","HAL1ME",640.576236004953,-0.538652799448175,0.0737975981768855,7.66188706092741e-14,7.74808329036284e-12,NA,NA
"25","Tigger17b",37.5503200790016,-1.04118960045928,0.146000088848346,9.34626209900932e-14,9.07335124571825e-12,NA,NA
"26","Charlie5",392.514897957118,-0.981691092221399,0.137060553324691,1.76014377117254e-13,1.64302651255221e-11,NA,NA
"27","(TTTCTC)n",2.25307910453742,-2.02706400038329,0.29255196253746,4.18485812647698e-13,3.76172247146653e-11,NA,NA
"28","LTR79",196.116515817595,-0.559189481738609,0.0796666714808435,6.05713395073598e-13,5.25023717801294e-11,NA,NA
"29","(TGAA)n",149.604742226158,4.11311735290821,0.642359444266693,7.86297249785989e-13,6.58049456976068e-11,NA,NA
"30","Tigger11a",39.2700066189913,-0.976659719341265,0.142203896082119,9.72426642452953e-13,7.86693153744439e-11,NA,NA
"31","MER41-int",540.018118961176,-0.943170606637708,0.138481265991659,1.94202978312764e-12,1.52042138182283e-10,NA,NA
"32","LTR81A",51.3984562321301,-1.02827910122706,0.151724583316129,2.04700519577893e-12,1.55252550317359e-10,NA,NA
"33","(TA)n",134.831159898662,-0.958562727026231,0.141953057636282,2.75428851479035e-12,2.02565400769581e-10,NA,NA
"34","(TCCT)n",31.7600440509073,-1.05739093105505,0.159615165943209,5.39600250394399e-12,3.85179355208002e-10,NA,NA
"35","(CAGGTG)n",1.64180361860409,-4.52549545203176,0.66048960040204,5.58790524208293e-12,3.87481314929579e-10,NA,NA
"36","LTR108a_Mam",335.624441536123,-1.8726777154691,0.282670206588619,6.81529633964693e-12,4.59464561564531e-10,NA,NA
