"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(AC)n",19.5961666638459,-1.16292366896909,0.305113061663704,3.18956727900722e-05,0.00035450711319799
"(ACCAC)n",18.5047611364266,-1.3182665736653,0.261340137133153,7.36084481961403e-08,1.91561498110443e-06
"(ACGCCAG)n",0.43207109083643,-1.94676943416645,0.61075745026119,0.000500792016961647,0.00358620860468508
"(CACA)n",9.63167177979319,-2.18955518399261,0.402503515423124,9.77277836988884e-09,3.06692780019747e-07
"(CACCCA)n",2.16243517275208,-1.68959301770612,0.91477429481989,0.0121732687617859,0.0492002945788847
"(CCC)n",3.24210840583994,-0.903043395641688,0.267686063940567,0.000112444351987549,0.00105243968044486
"(CCGCCC)n",1.84736611097596,-1.32224481016047,0.418809239736372,0.000163291066265464,0.00140509328794557
"(CCTC)n",2.62947208341184,-1.08591708769652,0.477718704878869,0.00359305604339301,0.017999017832396
"(CT)n",0.972273537919111,-1.25213214386796,0.447182875693578,0.000543312591646442,0.00376361275190562
"(CTCT)n",11.4309497712508,-2.05114466101592,0.487512513127435,6.04409927882863e-06,9.08317455001429e-05
"(GCCCA)n",2.74553845989588,-2.73230754763485,0.629930534017958,3.75762800211595e-06,6.26467043477769e-05
"(GGCACAG)n",54.4601839846859,1.10996273687568,0.406740806721278,0.000463770163998604,0.0034364080901841
"(GTGAGC)n",7.47494553308073,1.73123575667056,0.568098725199778,0.000106882868743717,0.00100923912344731
"(GTGT)n",10.9007776353607,1.44823479680502,0.399217075446852,1.93602330573277e-05,0.000232105265979423
"(TCT)n",45.2882875012164,0.844553456371341,0.742382024211192,0.000236855618109874,0.00187203662609804
"(TGAA)n",130.740747068437,5.61421951863128,1.08405987210037,6.43734435227927e-10,2.54394311995629e-08
"(TGCGGC)n",296.81886021758,-1.89683126935783,0.439738431050429,3.71345789293508e-06,6.26467043477769e-05
"(TGGTGT)n",0.987863618238183,-1.74354341026458,0.764762720966425,0.00351205762022039,0.0176762522678073
"(TTC)n",3.27922407719118,-0.943216311629624,0.495255701571528,0.00957813122861964,0.0405763504869907
"(TTCATTC)n",3.48748708125568,1.69983603821068,0.827985375458384,0.00212233716987559,0.0114370391932185
"(TTCTCG)n",31.8841733139982,-1.10910347509392,0.558791509669762,0.00959799993790292,0.0405763504869907
"7SK",98.2762716345099,2.73867003627009,0.504603817067699,8.53409636121834e-05,0.000835401909855043
"AluJb",3983.95436194043,0.229120789805793,0.0921469600591382,0.0111562347242123,0.0458956765256059
"AluJo",2062.11094522704,0.259311887737195,0.0949114951788594,0.00518735124012235,0.0245995723253802
"AluSc5",128.860217388787,-0.593388253160401,0.132114299254908,3.55139665971265e-06,6.21203317362852e-05
"AluSc8",617.592455054492,0.735363336835969,0.243289626209344,0.000541373916467146,0.00376361275190562
"AluSg4",122.467772435773,0.365139461821674,0.139564654516347,0.00594880919763947,0.027597301799484
"AluSp",1467.16604857559,0.492419427302424,0.115001379333696,9.5499918806023e-06,0.000128985333374717
"AluYc",6.67188417271328,-0.555391584140804,0.242180007032619,0.00831521663230707,0.0363620333879985
"BC200",146.667589668958,-0.849926595676394,0.426950457165398,0.0123909268551031,0.0497666156683335
"Charlie15a",65.4828031877984,-1.51360659128636,0.186287201309111,6.38789105118258e-17,9.15577077587688e-15
"Charlie15b",151.625009671234,-0.782872623490052,0.18504637244498,7.71076976715253e-06,0.000111180964075024
"Charlie18a",120.108171365614,0.614407480546411,0.204440288427017,0.00083498689543378,0.0054658344627475
"Charlie1b",69.9533222327241,0.550201478712169,0.158459143762482,0.000210351982171465,0.00172650434597656
"Charlie21a",184.911277292123,0.5675631473869,0.17597148223164,0.00047252264133288,0.00345343689307673
"Charlie2b",13.571133096349,0.616218825435619,0.284088518550697,0.00791640920778991,0.0351950359362993
"Charlie3",2.30037179607,-1.85216389521352,0.48271614038968,1.74089284541241e-05,0.000215992170471516
"Charlie4a",100.104844337523,0.749706129249528,0.230492356743365,0.000255253479328732,0.00197359030756345
"Charlie5",11.1140743217114,-1.82429531113023,0.252884047991653,8.64640788454792e-14,8.38701564801148e-12
"Charlie6",225.098855510198,-0.776678388085213,0.330894018837394,0.00600050785356294,0.0277166315140764
"Charlie8",822.11705199208,-0.598697119596483,0.113448447227607,6.12267944572638e-08,1.67510229963847e-06
"Cheshire",7.556016125246,-1.41727597213638,0.367517635311703,1.5382494603317e-05,0.000195394306449277
"ERV3-16A3_I-int",617.100569063095,0.730925263507777,0.315147465392674,0.00391758891883698,0.0194421738437166
"ERVL47-int",0.612023147798803,-2.12052462554318,0.520669872322637,5.43280881624747e-06,8.40116957526965e-05
"Eulor2B",16.7042982150342,-1.02973715804356,0.29424035254125,0.00010493449555818,0.000999688453219451
"FAM",395.513435518381,1.27645573242242,0.335054461947027,7.91810392890964e-06,0.000112648225228621
"HAL1M8",64.2865516428672,1.45082958872738,0.253100987722983,5.47765039370912e-10,2.24794345003371e-08
"HAL1ME",122.726175595504,0.400862225835538,0.173733424432799,0.0124066726970728,0.0497666156683335
"Helitron2Na_Mam",4.67896674852716,0.240026493470878,0.567027811896132,0.00416149500830357,0.0202925118625988
"HERV4_I-int",9.92125929391968,1.06181970027234,0.553898803489147,0.0040677813402294,0.0200014870508054
"HERVE-int",148.814476715941,3.25197657075071,0.476998219078136,1.31942822509981e-11,7.82127731211945e-10
"HERVH-int",383.412007934808,4.76623731571475,0.673602965721728,7.17357406461094e-12,4.78387720433742e-10
"HERVH48-int",22.8708038885266,4.46938470615817,1.05688157489106,3.52320518651418e-05,0.000379097338311316
"HERVK22-int",39.9895212644712,1.0815646229439,0.462376385623111,0.00125603684367019,0.00740437189058612
"HERVK9-int",13.0750999008829,-0.596675157752977,0.262197463041827,0.00962119650722459,0.0405763504869907
"HERVL74-int",59.0424808834719,-1.36412451757015,0.215883107158586,4.81122457055738e-11,2.56678830839236e-09
"HERVS71-int",9.0682900772718,1.33345076510105,0.524680067686878,0.00052873587977562,0.00373616677960653
"HSMAR1",603.05413373858,-0.727233262404023,0.151035961369722,6.4004333664132e-07,1.35691780860628e-05
"Kanga1a",28.2046643529234,1.83682529328249,0.498843700865163,6.65639769331106e-06,9.86441158161514e-05
"L1HS",15.3817226358258,0.592563685165118,0.22077658556282,0.0029236963689112,0.0150704542300881
"L1M2b",0.589774604793543,-1.57403541797199,0.756383458278765,0.00416500477779675,0.0202925118625988
"L1M3",136.133338372252,-0.422735614859517,0.176653112247994,0.0105133556890744,0.0438193379696969
"L1M3a",18.8495531915429,1.07753161461191,0.344025146573399,0.000157766875308862,0.001379813573398
"L1M6",6.50377291756961,-0.914581739269644,0.293916427466763,0.000389387843668275,0.00292589316333838
"L1M7",44.685396934451,0.365639662706574,0.148453780378784,0.00905341460071956,0.0387951541324007
"L1MA1",115.265724024159,-0.58373190061125,0.213176153620499,0.00290046358730474,0.0150232749886124
"L1MA10",104.976981060354,-0.701841852085246,0.263127910452496,0.00288384977964644,0.0150100864140622
"L1MB1",640.143726325601,0.704241228915638,0.174781086611805,1.51618862363013e-05,0.000194912441134138
"L1MB2",226.636884411259,-0.637575734497688,0.158205620226885,2.3580133054713e-05,0.000279555577437542
"L1MB4",205.751723077932,-0.8285699674888,0.158619408582541,5.61372573970596e-08,1.57627509585954e-06
"L1MB7",1402.2601179021,-0.460474629923061,0.11091538411423,1.79942865281355e-05,0.000218180724153643
"L1MC",41.1888268101473,-0.549744219572422,0.193776058355627,0.00207681522881235,0.0113398469044168
"L1MC1",478.480906448651,0.263333383207771,0.108243962901661,0.0125274002628997,0.0498758808974401
"L1MC3",46.1120824478095,-0.499030144596988,0.193447904549863,0.00495938228096812,0.0236234861330044
"L1MC4a",473.085964133595,0.36647611822041,0.136153642919172,0.00481165505652422,0.0230225827144006
"L1MD1",205.806425553574,-0.519902827750736,0.180221491494998,0.00208663187866646,0.0113398469044168
"L1ME2z",200.6532819693,-0.676705619260969,0.181373370256482,7.9284536963193e-05,0.000783301860553027
"L1ME3B",277.027307514058,0.424685497304592,0.129456885088822,0.000602583440189257,0.00406934513089834
"L1ME3C",31.0040294706436,-3.67860538211447,0.255742364598512,2.12986972676728e-47,2.27257099846069e-44
"L1ME3Cz",757.666417838517,0.366674567024578,0.11536037144681,0.00103201958653948,0.0064021215048699
"L1ME3F",435.688007525044,-0.628036513983528,0.140304789088657,3.42323735510074e-06,6.08765709648748e-05
"L1ME4a",894.366511412153,-0.536185651792494,0.126861107991623,1.26180820250687e-05,0.000168293669009354
"L1ME4b",883.558313945386,-0.307190210039683,0.0902852792219427,0.000472541505519402,0.00345343689307673
"L1ME4c",517.401431700075,-0.475092104426001,0.0951082396593416,3.52178310191385e-07,8.16900558639583e-06
"L1MEa",15.0993159910757,-1.39766065120081,0.394497220583398,7.83233917492239e-05,0.000781037934545999
"L1MEd",282.207795866263,-0.233176156878532,0.0888203805071849,0.00689798145415785,0.0312464905079958
"L1MEg",56.599130185427,-0.611270069497901,0.202149838037976,0.00104973227544674,0.006437151367251
