"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(AC)n",104.608291483096,-0.515701137029522,0.183712254435328,0.00123117022591437,0.0103559004145483
"(ACACAT)n",10.8297717847909,0.593191730579686,0.342292610421738,0.00769700765651994,0.0427546991335749
"(ACAGAG)n",1.96222673265497,-1.98871313708956,0.466342163775455,1.74884245263675e-06,4.29049348380216e-05
"(AT)n",11.9540083070511,-0.475008031183551,0.207061489476031,0.00526423276921409,0.032422387599511
"(ATCACC)n",6.03412945672968,-1.23928158642647,0.337533792937854,1.85511095149843e-05,0.000333015039098256
"(ATCC)n",16.5565958622192,-0.538308194110143,0.218762028652117,0.00302781942992556,0.0211229867338882
"(ATG)n",6.06784890277993,-1.20258655655465,0.339460404680893,4.41336674007229e-05,0.000683839562251202
"(ATGG)n",31.8510594383893,-0.789539684934048,0.230088389689228,8.91543430156538e-05,0.00122649713008451
"(C)n",64.1662755821268,3.05175213805951,0.755525908875924,3.64687365443353e-07,1.11837458735962e-05
"(CACAACA)n",0.804073012562891,-1.29943496623398,0.637505162518992,0.00455226827710936,0.0290083935233982
"(CACT)n",3.59330721578333,1.45077888454963,0.528466755757868,0.000412084055474281,0.00418336365281477
"(CCCCT)n",4.95433796542007,-1.2308591349266,0.359487147397405,6.84519118690346e-05,0.000987855041874696
"(CCT)n",6.72294754098289,-0.934525577532944,0.26104215451417,3.33213907380352e-05,0.000533142251808563
"(CCTT)n",11.3447098061034,-2.71939574717235,0.331869671231508,9.14402508995849e-09,4.2062515413809e-07
"(CTC)n",5.62674766963599,-1.10457122783919,0.281908605517878,6.73932916629127e-06,0.000137781840733066
"(CTCAG)n",1.379853453437,-2.52511350107606,0.552712589570053,5.18446951282684e-07,1.52630782457622e-05
"(CTCTT)n",0.529034587022358,-1.24796738129722,0.548209878765082,0.00146180315576686,0.0118898499175954
"(CTTC)n",4.83106262786782,-0.751280238525004,0.282329526656197,0.000892751857610671,0.00801299228294456
"(G)n",6494.91751698602,3.38965786978984,0.773930542605023,1.08592848431919e-10,7.66080578445664e-09
"(GATGGT)n",17.3630217058781,0.973737855758328,0.625141214926286,0.00284678338896305,0.020180638809019
"(GGAT)n",11.362367937961,-0.776080620203207,0.240842445860459,0.000162131842555569,0.00203594515257603
"(GGATG)n",0.657348687691909,-2.04138525354735,0.481013334550641,4.06241728548753e-06,8.92519140930992e-05
"(GGT)n",10.6428571570204,1.61505792850371,0.533217400499502,0.000262443841627263,0.00292664647632827
"(GGTGAT)n",7.94531768975643,1.38882393937825,0.698157080513235,0.000846660867886293,0.00774089936353183
"(GTCTCT)n",0.460558883772523,-1.92589645676457,0.524495424281637,4.69187977997558e-05,0.000718574508550206
"(GTGATG)n",3.18605360201579,-1.38805017715468,0.371123183575985,2.04119834213276e-05,0.000352267734646134
"(GTGGTG)n",0.628308135525639,-2.12157481016581,0.574494559709065,4.09486490953408e-05,0.000641238419875976
"(TAGA)n",1.71718013329388,-0.600904394798376,0.311639174701798,0.00623920469571842,0.0368839731409539
"(TCCA)n",13.6310748324848,-0.630675026908029,0.247121728780578,0.00196742812028243,0.0148515599643884
"(TCCC)n",2.09022938296936,-1.33614343524143,0.297660693389832,3.16710617050887e-07,1.01347397456284e-05
"(TGTT)n",0.524590415999705,-1.65677359842004,0.457142753208813,2.59529468888189e-05,0.00042447486467046
"(TTC)n",448.637735943219,0.161042159653353,0.329796118417854,0.001453355213586,0.0118898499175954
"(TTCCTC)n",0.449478760124412,-1.44612115514597,0.710985731680463,0.00248728849849722,0.0179474934793525
"(TTCTCC)n",0.421059848347981,-1.39443637316626,0.686100079836163,0.00391270797501544,0.0260611137521391
"AluYb8",37.1919993482578,-0.738488877983207,0.219523742214968,0.000124202786332486,0.00164708559893171
"AluYk11",21.728822529176,1.94266979038098,0.553013245590022,0.000406288490301736,0.00415317123419552
"Arthur1",42.4730194913629,-0.377444551891111,0.114404773042281,0.000401797024807569,0.00413598056305414
"Arthur1C",3.70630236936025,-0.544843786492211,0.241305369053613,0.00312013607091449,0.0216643410206893
"BSR/Beta",362.088558722468,0.520947444951746,0.268587576221246,0.00641713469692624,0.0374842153725215
"CER",7.55033371022467,1.29308457005538,0.734821480601664,0.00163104413774205,0.0130483531019364
"Charlie12",182.557733803404,-0.593053414670833,0.18596282642186,0.000299776994412582,0.00326867952426164
"Charlie17b",6.74785549280927,-0.667246105057465,0.202557206913656,0.00015001046254461,0.00191444613407619
"Charlie2a",141.564478295512,0.405639741734642,0.163174159181366,0.00334441011421292,0.0227915355931547
"Charlie5",139.878267581302,-1.72019315138108,0.220391505649342,1.03121821039847e-15,1.16765631208196e-13
"Charlie7",99.3916005953632,-0.345592063072068,0.0918538664796334,7.42101581710992e-05,0.00106055682357144
"CR1-16_AMi",2.99473850729432,-1.13436860860197,0.291506905648223,6.63375450989711e-06,0.000137533614627726
"CR1-3_Croc",12.4023180351955,-0.358769966632886,0.153507052120842,0.0069859118365249,0.0398576055169172
"DNA1_Mam",3.71389067141175,-0.899009391230583,0.24638312207294,1.35541127264907e-05,0.000255790435043516
"Eulor2B",1.55267216277706,0.966002685106513,0.756911176660322,0.00708441868350363,0.0400416483402168
"FAM",117.041871666326,0.412755023183939,0.1091576724982,4.96926789917677e-05,0.00074640432118247
"FRAM",139.704538777939,0.30446167440645,0.0918699699233383,0.000442760198593687,0.00446399323513635
"GSATII",23.4124398190117,1.79777547562336,0.5546405310204,2.00321231904485e-05,0.000351039111146908
