"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(ACACAT)n",11.263104175654,-0.570276942939376,0.176415496691455,6.84001183628245e-05,0.00257147472007267
"(ATG)n",5.71292678307226,0.426532369101258,0.249534507718554,0.00321819628911866,0.0403289282717482
"(ATTTTT)n",1.80470820616312,2.72610217690907,0.711869031300025,5.00458187056524e-06,0.000297781405396019
"(CTCTGT)n",11.8742683158269,-0.703621955887196,0.367405438076961,0.00184582472769166,0.0288487887215628
"(GATGGAT)n",0.640849891628862,0.806341009658702,0.601209493962141,0.00378442745590019,0.0442364587492199
"(TG)n",166.369195142337,-0.295324524842456,0.138769670009526,0.00296074465393966,0.0374399619420915
"(TTTTAT)n",1.30128440823666,0.0531791322934925,0.125308101286438,0.00383689355321864,0.0444759911043927
"7SK",2.24064391084188,-0.395103911450435,0.191670994019893,0.0024471777719748,0.0339481902802272
"AluSc8",993.185310372141,0.146418600894276,0.060520972892601,0.00430534967639154,0.0470132989916363
"AluSg",1932.14578815147,0.16329781500581,0.0595323003638942,0.00209959125214425,0.0311594354518908
"AluSg7",440.508203685646,0.163346634630343,0.0695394898130629,0.00447953885196587,0.0476688891717805
"AluY",4191.4438720244,0.168094835299118,0.0748912524968554,0.00471631205622876,0.0493262411294302
"AluYc3",27.0503054494239,0.371033907288684,0.116876067874222,9.26221784394923e-05,0.00306755833831747
"AluYk11",29.3733272539076,0.101646955212685,0.172309570774733,3.5635618188332e-07,3.81301114615152e-05
"AluYm1",163.565446329897,0.220758439456108,0.0851905377478662,0.00135023716071253,0.0243919466305342
"Charlie11",2.67757297823397,-0.366880061457612,0.213945276820603,0.00412627316851891,0.0462874675597565
"Charlie25",31.8669603475045,-0.237115599119308,0.0824308680734181,0.000599858177428833,0.0132444876952938
"Charlie29a",39.2652161160612,-0.240520121226752,0.0712528520859082,0.000112883431340199,0.00356865574986857
"Charlie5",128.706989459246,0.671594660270073,0.131933709372834,1.48010193690333e-08,2.28757977136948e-06
"Cheshire",69.4945674865873,-0.263492375595999,0.0823164285625774,0.000174873667152366,0.00496427083691717
"HAL1",1429.75789583147,0.105041133683053,0.0314085189890277,0.000349231003431669,0.00867464867452591
"Harlequin-int",816.105251024478,-0.436641814310292,0.226071373394049,0.00283218187888674,0.0361427981057932
"HERV1_LTRc",6.68650896990076,0.378391222828589,0.157289663148795,0.000869036302910522,0.0177010056148809
"HERV17-int",286.175084685456,-0.646265651756279,0.245879601806152,0.000363851261990445,0.00880261887170712
"HERV35I-int",29.9897001474133,-0.414645804832027,0.102202167716921,3.82152793657615e-06,0.000252093473792594
"HERV9-int",40.7781308317798,-0.954719812830456,0.207799857344626,2.41905978944327e-07,2.86644023405063e-05
"HERV9N-int",29.1202795593162,-0.364408354646269,0.153631642157673,0.00110038497585554,0.0206842635326359
"HERVFH21-int",55.4263305387936,-1.70429200934138,0.216156790516914,5.13785314845755e-06,0.000297781405396019
"HERVH-int",1760.69112418521,-0.382981749221279,0.180641763855986,0.00204574359950275,0.0309307537707427
"HERVH48-int",46.1068597917001,-0.605374287795781,0.166101461568013,1.48828242216513e-05,0.000766741055270999
"HERVIP10FH-int",148.905930928047,-0.396679275617133,0.181556252022088,0.0015508643752605,0.0262064651985854
"HERVK11-int",244.978923821995,-0.355265525728052,0.189511632149181,0.00332572316700989,0.0407845532211784
"HERVK11D-int",1.79585580432129,-0.49251634404428,0.264376238770238,0.00266708768046981,0.035332561557462
"HERVK22-int",166.087884134996,-0.955851307876459,0.168286231915766,7.43294197064816e-10,1.7232037135286e-07
