"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(ATTTG)n",1.77689686889371,-1.25073747136138e-05,0.00144270357541829,0.000526405906352343,0.0282604770867444
"(GA)n",20.0993175623152,-0.518687622134563,0.234137839084316,0.00069525778280114,0.0343786677337722
"(GAT)n",7.71828619839019,0.710614874427885,0.219749444712228,3.86273155383302e-05,0.00518433756403732
"(TAA)n",6.64248283886008,-0.517129781991173,0.170029908834875,7.21192847763619e-05,0.0067756068047392
"(TCATT)n",2.49426269789804,4.02978613880277e-06,0.00144268552013972,0.00112621802268871,0.0470254509104669
"(TCCATTCCAT)n",4.78565081827838,0.67783858020871,0.456683837699895,1.15584751884702e-05,0.00217183748791355
"(TCTCCC)n",1.4680977076584,0.632121208184457,0.252517079323887,0.000227941343080014,0.0171320713458939
"(TTGTT)n",4.23244261766708,0.435103649387821,0.179354767659129,0.00046453309470353,0.0262446844046332
"(TTTTCA)n",1.01434309531919,9.90267510515511e-06,0.00144270045779584,0.000860732117405542,0.0394467231367076
"Charlie24",56.2372603915631,0.283310324308821,0.0899533109564095,5.5969303996289e-05,0.00618625424758983
"GSAT",4.08409975352175,3.39500944555489e-06,0.00144268795164712,0.000314151272765665,0.0209664137116732
"hAT-N1_Mam",50.3992954855073,0.531251894463803,0.155787901069105,2.32964539900731e-05,0.00364783642061228
"HERVIP10F-int",3341.90038055818,0.668692953566071,0.284500812862468,0.000572941129724608,0.0299043439653483
"Kanga1b",13.025783732809,-0.257736043656702,0.0969701194778308,0.000239028465310558,0.0172744033199438
"L1MA5",337.508201699462,0.168513023833997,0.0770252429401682,0.00084795522072136,0.0394467231367076
"L1MDa",945.330238032852,0.139564197906835,0.0573438316985308,0.000445498073905054,0.0261590900271124
"L1PBa1",165.708576619581,0.271224134829314,0.137911787993588,0.0012715892994482,0.0487615570135342
"L2a",7986.6165973061,0.0391894081347515,0.0190421372236822,0.00121315491937205,0.0483850887405627
"LTR10A",980.844173989248,0.59408156357048,0.265280433357348,0.000653331154028965,0.0331786280654169
"LTR12_",118.893881903923,0.188984691756258,0.0902091541036388,0.000932339912332749,0.0409915982751215
"LTR1B1",34.9395371100779,0.875919944871685,0.18196048195235,5.49238575957584e-12,1.0320192842243e-08
"LTR21A",66.1534894972657,0.314445926179744,0.160131254060684,0.00115123509413596,0.0470254509104669
"LTR21B",50.7190491251918,-1.06816651462738,0.222636489611,6.6508646905112e-08,4.13720894343148e-05
"LTR35A",7.71178442942799,0.426721390590496,0.214699351976045,0.00113990878277709,0.0470254509104669
"LTR43B",13.839012313615,-0.53036981542193,0.124950934379897,8.22306268890459e-07,0.000257518913207529
"LTR44",27.7766730532648,0.728461010097548,0.168870694514765,0.000140848719732245,0.01260260687509
"LTR57-int",51.4249750728464,0.430747701512099,0.134062495604264,4.37921947304117e-05,0.00545320912286807
"LTR71A",18.915413392045,-1.00333526846163,0.148833394197706,0.00025518856000551,0.0177592334907539
"LTR7B",783.242919194876,0.303669375321459,0.141835642126844,0.000938072765210338,0.0409915982751215
"MamGypLTR1b",56.641033201736,0.338159546600822,0.110063466748395,7.03090074624135e-05,0.0067756068047392
"MER110-int",32.9969700145943,-2.58794814473315e-05,0.00144273075857373,0.00084072491351293,0.0394467231367076
"MER1B",587.245836699526,-0.248897276272247,0.0987605423803578,0.00038330289096679,0.0232331010363419
"MER4A1",303.422226399149,0.317460301016847,0.0842043317610345,7.82218144430729e-06,0.00167199927324271
"MER51-int",51.2564103136315,0.365900510873958,0.153357612649934,0.000474890510781017,0.0262446844046332
"MER57A-int",136.10467665392,-0.272606843100594,0.0848150401570461,4.64349898700847e-05,0.00545320912286807
"MER57F",349.512266339288,-1.13843808429672,0.250823780712301,2.38701242940487e-07,8.97039270970348e-05
"MER61-int",323.72231052577,-4.82754158822889e-05,0.00144279047400038,0.0012360214260495,0.0483850887405627
"MER61A",85.762078828092,-0.347857666704802,0.12834345117706,0.00020899171914366,0.016362310011289
"MER65C",110.163683129006,-0.321075759538884,0.117592683306154,0.000197676341173339,0.0161492976115089
"MER66B",240.426518797233,-0.430876816364824,0.149994352988502,0.000164856762146819,0.0140802661851761
"MER9a1",112.385624399375,1.46930727674333,0.200747324677149,5.36830868028812e-06,0.00144100743003734
"MLT-int",35.5766252207199,-0.265719456346515,0.0793895524031367,2.88632980621209e-05,0.00417185669682501
"MST-int",44.7445629346327,1.01037992265671,0.173077811949278,1.01762611274179e-09,9.56059732920911e-07
"PABL_B",77.0018178142594,0.824223329730507,0.222728799771838,8.0085116866335e-06,0.00167199927324271
"PABL_B-int",73.2217493048856,0.500488380145096,0.140396206411748,1.29315577099112e-05,0.00220894517608392
"THE1-int",12.4112681631574,-0.547236847287199,0.174538272363018,8.80725693120059e-08,4.13720894343148e-05
"THE1D-int",275.266637064814,-0.241403214474918,0.0767339317203451,6.15793202524413e-05,0.0064281968196854
"UCON71_Crp",8.71004223284097,0.420519309772276,0.169469116265392,0.000344481707569529,0.0215760376174382
"X6B_LINE",10.143959487644,-0.643500129307343,0.110086120886761,0.000323590206300438,0.0209664137116732
