"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(ATCC)n",16.225056298049,0.357446444457999,0.125933820163959,0.000157567143965507,0.0236929941995874
"(CCAT)n",20.3212983291346,0.313303103393389,0.114654168117882,0.000219268584678495,0.0261926291152311
"AluYk11",30.1624856138182,-1.63457273431104,0.250338006279927,2.8608982904544e-12,3.75922035365708e-09
"HERVFH21-int",54.3913401614504,1.67362330248704,0.18454971726905,8.3964968629943e-08,5.51649843898725e-05
"HERVH48-int",45.6514537352696,0.641119471656397,0.145615878824539,4.42825640585988e-07,0.000193957630576663
"LTR1F1",21.0794349025511,-0.600435427925842,0.153188734251324,3.72756325167515e-06,0.00122450452817529
"LTR5_Hs",513.000713353053,-0.26796266037739,0.0947483808149043,0.000162280782188955,0.0236929941995874
"LTR72",26.579797149959,-0.376543469439302,0.154658656204774,0.000405060751347205,0.0409422944054021
"LTR85b",15.222516721168,-0.676491753586787,0.122044776938178,0.000271312566891569,0.0297087260746268
"MER31B",68.3100409682612,-0.231616671730755,0.0845195197049693,0.000208971817311519,0.0261926291152311
"MER75",33.3650175362456,-0.400525947207959,0.125295914322419,4.88927845719503e-06,0.00128490237855085
"MSTA",2235.16026387247,0.412093425987869,0.142207437654793,0.000125156610820169,0.0234936838025289
"UCON1",1.00298655224733,-1.01256925287407,0.3077923209417,3.86089159854975e-05,0.00845535260082395
