"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(ATT)n",2.88765702104682,0.50849687068952,0.182112205622277,0.000189611073741643,0.0190808617365274
"(ATTTTT)n",2.28120442841868,1.5192994072364,0.459525229515421,2.31617077771712e-05,0.00295234568466342
"(CCTTCT)n",9.53135738236536,-1.94566854905798e-05,0.00144272517789067,0.000126438304388581,0.0134305576661648
"(CGAGG)n",1.01739717172191,-1.50096966558872e-05,0.00144271615705856,4.18184053831231e-05,0.00499729944328322
"(GGAGCT)n",2.28232205016015,0.66747185395859,0.278398573014538,0.000493165828022192,0.0377173225271373
"(TATA)n",4.56751666883008,0.881034607359623,0.203939903269509,6.39058685800961e-07,0.000164600810050775
"(TTCCA)n",70.4915289563269,-0.590262524522779,0.224447821594314,0.00024496028470204,0.0223030506833477
"(TTCGA)n",6.79133225621845,-2.1630551449044e-06,0.00144268265966439,0.00073744663289753,0.0414705282970611
"7SK",89.9325586498034,1.32532540883568,0.229070955962614,7.69267768201415e-10,7.35419986400553e-07
"AluYa5",110.821990862128,0.880328141416304,0.132957297645901,0.000319569783213323,0.0277735193410852
"HERVK11D-int",192.398073146981,-1.25800876327488e-05,0.0014427113208511,1.8970708208693e-05,0.00259085672107293
"HERVP71A-int",105.993142340515,2.18675921495442,0.209254115182749,3.49785062581568e-07,0.00011146483994266
"HY1",19.3809580657917,1.71370974347171,0.133637063788299,6.17768581414208e-08,2.36234705532793e-05
"HY3",10.4589386486157,3.01993029159658,0.166360140510412,1.62129916892008e-05,0.00238455693151938
"L1M6",342.82433114572,6.08652982191621e-05,0.00144293668689265,0.00036060421723909,0.0299771853635279
"LTR14A",23.6958930717539,-2.64593804418547e-05,0.00144273100553878,0.000780612869347283,0.0426437658912001
"LTR21B",49.5613506050292,-8.45885103704474e-06,0.00144267321589802,4.47678496982849e-06,0.000778146623846553
"LTR26E",77.0243267769273,-0.738387937258282,0.176338538753081,9.92772894538585e-07,0.000210909086039753
"LTR45B",167.943996226448,0.40322060373284,0.180097959310108,0.000669830066722139,0.0411745260905537
"LTR75_1",68.4260106841285,-0.35616338093882,0.144101604124372,0.000381567237664342,0.0303981899339259
"LTR7C",475.390317485113,-0.380028329399848,0.165108531822719,0.000562474541558779,0.0384089758378709
"MamTip1",41.0997925690945,4.7645446558954e-05,0.00144281614501976,0.000699991161884448,0.0411745260905537
"MER51-int",115.100493090051,-0.389785106509475,0.14413984630527,0.000201483187108804,0.0192617926876017
"MER57F",472.051395806976,-2.2723696563776e-05,0.00144275672472496,6.8870631820408e-07,0.000164600810050775
"MER65-int",1808.66246102903,-0.915710978784216,0.321015918942392,0.000120211008566864,0.0134305576661648
"MER91C",21.7902583320514,0.242940312240749,0.110546310382353,0.000710648201353699,0.0411745260905537
"MLT2C2",76.5316566469229,0.21719955774674,0.0970353102420606,0.000666848987088017,0.0411745260905537
"MSTB1-int",33.5994175579758,0.26355562551916,0.113797852330129,0.00055455195847327,0.0384089758378709
"PABL_B-int",90.5540228298038,0.557646430977293,0.143363007708273,3.68846954208662e-06,0.000705235376446961
"tRNA-Gly-GGA",0.922188913665106,1.07210142900985,0.408874969928689,0.000666215135754985,0.0411745260905537
"tRNA-Leu-TTA(m)",283.027526827067,-1.46718119743646e-05,0.0014427081521766,0.000524960989772214,0.0384089758378709
"U1",193.72269002814,3.43573725467387,0.236272708014786,2.17848679767257e-08,1.04131668928749e-05
"U17",51.1847272310728,3.80443915398431,0.243506783451889,1.66163357323105e-09,1.05901446400592e-06
"U2",143.07013823244,5.74389866443181,0.298739600256734,5.60513559510893e-44,1.07170192578483e-40
"U4",3.37460877761421,-1.35598144398508e-05,0.00144270433092142,0.000944360784768767,0.0488004816345374
"UCON107",8.33896527574768,-2.29865980158259e-05,0.00144272098497322,0.000902071449169831,0.0479100169670199
"UCON26",13.3791199614811,0.791658697841548,0.208671691183273,5.0317270339221e-06,0.000801721840738254
