"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CCCA)n",0.847175365632553,1.04074014396025,0.289410267192174,1.63208085663793e-05,0.00429936728520048
"(GAGAGA)n",4.09154567095115,-3.93934970570686e-06,0.00144269592878038,0.000133811373530058,0.022431652071766
"(TTATTTT)n",4.48500807236346,1.52370402734819,0.479655511283017,0.000120360666908638,0.0221945069779528
"ERV24B_Prim-int",99.4589551790217,0.503552888316948,0.134959849406234,9.37631779065136e-06,0.00288165500099352
"HERV-Fc2-int",16.6726964239512,-3.8123065099171,0.522193660168946,3.86178170691029e-10,7.12112546754257e-07
"HERVP71A-int",57.7737430213945,-1.8243788078463e-05,0.00144274626713873,2.78051805290596e-07,0.000128181882238965
"LTR1B1",42.3779364932272,-0.742171393837163,0.31410102756957,2.81144709969828e-05,0.00648038556480454
"LTR70",26.1835789458558,-0.974540214319837,0.270942685718184,7.01230648629878e-06,0.00258613863214699
"MER11A",440.640945717061,0.361233792123961,0.128590106081626,0.000191109072845219,0.0281736234527045
"MER83",60.6268016586112,0.364055557159643,0.130001775594472,0.000198620989634034,0.0281736234527045
"MER94B",6.33038199761516,0.48045877479632,0.152099167483912,4.37354858043452e-05,0.00896091509146806
"MST-int",52.1711575142762,-1.27315134902131e-05,0.00144270647049142,3.31574341707671e-08,2.03807695369648e-05
"PABL_B",75.8363742884947,1.45746562952084,0.272650779478964,8.75900942252761e-09,8.07580668757046e-06
