"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(TAG)n",1.27139606092895,-0.0254861434386244,0.0545340905243814,9.08811829537258e-05,0.00845332227307977
"(TTCTTC)n",1.479929072467,0.628124423947492,0.425393954855324,6.57603967340717e-05,0.00805212492159774
"AluYd8",4.32240597886765,0.42805028028965,0.172963913049812,0.000409869671816212,0.0192785127779268
"AluYi6",7.85237753520774,0.325746752414618,0.116996337704589,0.000188834498544588,0.0130892123464854
"Charlie20a",19.8768646364637,-0.155552171025486,0.0657421716337726,0.00106343360580976,0.0346418953059896
"Charlie22a",18.0028788372424,0.189978260813519,0.0863612524390032,0.00127877247986365,0.0391661245576845
"Charlie5",128.382882519695,-0.286614626898495,0.111277711680823,0.000384403131391375,0.0187503305200904
"CR1-16_AMi",2.85524216904083,-0.39598387973016,0.155610654242425,0.000369381913589022,0.0187503305200904
"FordPrefect",12.9101504607167,0.0123330609427517,0.0404626194510377,1.80981840101056e-05,0.00397255139021817
"Harlequin-int",809.545711767585,-0.575856236928079,0.162930748948173,1.02319862045388e-05,0.00269510516627553
"HERV1_LTRe",6.09414704501073,0.511366195876111,0.20906480726078,0.000506707385195859,0.0222444542100982
"HERVI-int",24.3434955369694,0.620271072178309,0.202891081900596,2.8075419917176e-10,3.69753280309208e-07
"HSATI",4.34149941240786,0.805787178662393,0.331190172709786,0.000605824769356203,0.0241779157952157
"L1M4c",360.495273884073,0.0890045451047602,0.0356747849412689,0.00178746556867394,0.0470818430788715
"L1MA5A",180.099106286953,-0.140674023895982,0.0437129823246926,9.62792969599063e-05,0.00845332227307977
"L1PA14",276.346064569899,-0.13410161143245,0.0531634879468657,0.000800464560523424,0.0290398278982434
"L1PA8A",201.881909471309,-0.00204069841068709,0.0358359768480707,0.00197585016432206,0.0490980125738141
"L1PBa1",244.170537770319,-0.334434045455195,0.103988735834404,4.36768983000603e-05,0.00805212492159774
"LTR108a_Mam",3.52445678846976,-0.270168718325758,0.130489473806537,0.00120278609205452,0.0377159353151383
"LTR10E",28.744838332697,-0.281666523999065,0.108399156551534,0.000334375528281279,0.0187503305200904
"LTR12",154.588604297761,0.949154145307572,0.149034149290044,1.00369185029328e-07,4.40620722278749e-05
"LTR12_",130.214601819075,-0.643882517872308,0.182361823357078,3.25415379975245e-08,2.14286027713699e-05
"LTR16E1",33.6077885831505,0.23078141453117,0.0730093608650897,7.86921011575227e-05,0.00805212492159774
"LTR22A",19.1811614200788,0.219059134359566,0.107826195450359,0.00160229925542621,0.0458745243347025
"LTR24C",22.0972842719328,0.283106346350145,0.11821767437126,0.000625267091772886,0.0242199047019085
"LTR33C",39.932973531367,0.315333355504048,0.115037290445518,0.000242770871445773,0.0152252017949563
"LTR41C",47.6604268322396,-0.140702160034757,0.0593439794039034,0.001078449284393,0.0346418953059896
"LTR48",35.512313296385,-0.202432075624075,0.15013413879684,0.00107219951930869,0.0346418953059896
"LTR5_Hs",498.4126293997,0.23221289322573,0.0816309050043471,0.000187038460845327,0.0130892123464854
"LTR75",44.2342596200785,0.164316341732526,0.0735758091894573,0.00131069667295263,0.0392315345063322
"LTR7C",81.5936693620457,0.28845786304543,0.102556167368907,0.000212268030404011,0.0139778498021041
"LTR82A",21.9272735054733,-0.226501464878966,0.0865427543488204,0.000381540164125627,0.0187503305200904
"LTR85b",14.8345680541111,-0.398406451583146,0.10554724085745,0.0010698069619829,0.0346418953059896
"MamTip2",29.98313344015,-0.157680797523628,0.0738269127946483,0.00167114613576159,0.0468175787671138
"MER102a",51.9146530629988,-0.0948360967725289,0.0388009916647016,0.00183741554489083,0.0474485543651221
"MER11D",153.880673243128,-0.336486476521286,0.154499831230021,0.00081584937906986,0.0290398278982434
"MER47C",3.99503672527758,0.512709398375291,0.214532222476803,0.000587781778576473,0.0241779157952157
"MER48",22.3989770474069,0.392794477579867,0.123093500866756,5.2463845327671e-05,0.00805212492159774
"MER4E1",131.917551966294,0.215586478859105,0.105774937257787,0.00154514436447919,0.045221225067091
"MER51-int",54.9224247655581,0.0281451177750102,0.0496153089390139,0.0017418840999154,0.0468175787671138
"MER51E",644.048735822127,-0.00228384183513872,0.0421654617390462,0.00026666670499724,0.0159636386582439
"MER63C",40.2331974291821,-0.0173270804233564,0.0432697844018819,6.83843925423568e-05,0.00805212492159774
"MER66A",58.1516813677689,-0.0239960530282081,0.0516899765795212,0.000149015732886907,0.0117210455330428
"MER66B",31.433484702115,0.188464143004167,0.0782459179635998,0.000760326037827027,0.028609982623377
"MER75",34.4897293499096,0.015988878011187,0.042814553632106,0.000504279682823504,0.0222444542100982
"MER9a3",48.7151239593647,0.166809471589371,0.0796460172626191,0.00173840091914215,0.0468175787671138
"MLT1F1-int",61.0309248136893,-0.011057603094975,0.0409423294466382,0.000569445747053447,0.0241779157952157
"MLT1H2",138.805894940528,0.298282108349417,0.0664172408191182,3.55918522653951e-07,0.000117186173583813
"MLT1J1-int",18.9290355564931,-0.334321974293245,0.116440307328617,0.000151296715308828,0.0117210455330428
"MLT1L-int",5.17077318233833,0.36705817294709,0.119200973241124,7.94818709041538e-05,0.00805212492159774
"MLT2C1",63.4596776100999,0.193848894429822,0.0720009467157002,0.000346053909650046,0.0187503305200904
"PABL_B-int",16.0253426861337,-0.414031135636457,0.131178482498238,5.69126064189191e-05,0.00805212492159774
"Tigger19a",60.085299916858,-0.0928577131522644,0.0384534858230222,0.00190995706651849,0.0483733357039395
